Indicator Name,Indicator Value,Governorates,District,Topic,x,y,Year,Name,GOVERNORATE_ID
Ease and smoothness of traffic,35,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2019,محافظة الخبر,00505
Ease and smoothness of traffic,64,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2018,محافظة الخبر,00505
Per capita share of asphalt roads,5,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2017,محافظة الخبر,00505
Per capita share of asphalt roads,6,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2020,محافظة الخبر,00505
Per capita share of asphalt roads,7,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2018,محافظة الخبر,00505
Per capita share of asphalt roads,7,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2019,محافظة الخبر,00505
Percentage of air transportation used in domestic tourist trips,18,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2018,محافظة الخبر,00505
Percentage of air transportation used in domestic tourist trips,20,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2019,محافظة الخبر,00505
Percentage of air transportation used in domestic tourist trips,23,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2017,محافظة الخبر,00505
Percentage of air transportation used in domestic tourist trips,33,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2020,محافظة الخبر,00505
Percentage of commuting on foot,6,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2017,محافظة الخبر,00505
Percentage of commuting on foot,6,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2018,محافظة الخبر,00505
Percentage of commuting on foot,6,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2019,محافظة الخبر,00505
Percentage of commuting on foot,7,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2020,محافظة الخبر,00505
Percentage of land transportation used in local tourist trips,67,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2020,محافظة الخبر,00505
Percentage of land transportation used in local tourist trips,77,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2017,محافظة الخبر,00505
Percentage of land transportation used in local tourist trips,80,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2019,محافظة الخبر,00505
Percentage of land transportation used in local tourist trips,82,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2018,محافظة الخبر,00505
The percentage of using the bus as a means of transportation,5,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2019,محافظة الخبر,00505
The percentage of using the bus as a means of transportation,5,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2020,محافظة الخبر,00505
The percentage of using the bus as a means of transportation,6,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2018,محافظة الخبر,00505
The percentage of using the bus as a means of transportation,8,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2017,محافظة الخبر,00505
The percentage of using the car as a means of transportation,72,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2019,محافظة الخبر,00505
The percentage of using the car as a means of transportation,76,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2017,محافظة الخبر,00505
The percentage of using the car as a means of transportation,80,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2020,محافظة الخبر,00505
The percentage of using the car as a means of transportation,84,Alkhubar,Al Khubar,Connectivity,50.15485218,26.19918576,2018,محافظة الخبر,00505
Availability of public transportation,36,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2020,محافظة الخفجي,00506
Availability of public transportation,55,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2017,محافظة الخفجي,00506
Availability of public transportation,58,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Availability of public transportation,98.67,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Average daily trip time (minutes),15,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2017,محافظة الخفجي,00506
Average daily trip time (minutes),24,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2020,محافظة الخفجي,00506
Average daily trip time (minutes),33,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Average daily trip time (minutes),41.74,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2019,محافظة الخفجي,00506
distribution of satisfaction degrees in the roads and traffic,20,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2018,محافظة الخفجي,00506
distribution of satisfaction degrees in the roads and traffic,20,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2020,محافظة الخفجي,00506
distribution of satisfaction degrees in the roads and traffic,24,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2017,محافظة الخفجي,00506
distribution of satisfaction degrees in the roads and traffic,33.06,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2019,محافظة الخفجي,00506
distribution of satisfaction in the traffic and transportation,83,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2018,محافظة الخفجي,00506
distribution of satisfaction in the traffic and transportation,97,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2020,محافظة الخفجي,00506
distribution of satisfaction in the traffic and transportation,99,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2017,محافظة الخفجي,00506
distribution of satisfaction in the traffic and transportation,99.17,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Ease and smoothness of traffic,36,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Ease and smoothness of traffic,41,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2017,محافظة الخفجي,00506
Ease and smoothness of traffic,56,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2020,محافظة الخفجي,00506
Ease and smoothness of traffic,96.68,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Per capita share of asphalt roads,7,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2017,محافظة الخفجي,00506
Per capita share of asphalt roads,8,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Per capita share of asphalt roads,8,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2020,محافظة الخفجي,00506
Per capita share of asphalt roads,9.8,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Percentage of air transportation used in domestic tourist trips,16,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Percentage of air transportation used in domestic tourist trips,25.34,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Percentage of air transportation used in domestic tourist trips,26,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2020,محافظة الخفجي,00506
Percentage of air transportation used in domestic tourist trips,34,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2017,محافظة الخفجي,00506
Percentage of commuting on foot,5,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2017,محافظة الخفجي,00506
Percentage of commuting on foot,5.56,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Percentage of commuting on foot,7,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2020,محافظة الخفجي,00506
Percentage of commuting on foot,8,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Percentage of land transportation used in local tourist trips,66,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2017,محافظة الخفجي,00506
Percentage of land transportation used in local tourist trips,74,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2020,محافظة الخفجي,00506
Percentage of land transportation used in local tourist trips,74.66,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Percentage of land transportation used in local tourist trips,84,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2018,محافظة الخفجي,00506
The percentage of using the bus as a means of transportation,5,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2018,محافظة الخفجي,00506
The percentage of using the bus as a means of transportation,7,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2017,محافظة الخفجي,00506
The percentage of using the bus as a means of transportation,7,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2020,محافظة الخفجي,00506
The percentage of using the bus as a means of transportation,20,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2019,محافظة الخفجي,00506
The percentage of using the car as a means of transportation,56,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2019,محافظة الخفجي,00506
The percentage of using the car as a means of transportation,78,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2020,محافظة الخفجي,00506
The percentage of using the car as a means of transportation,86,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2017,محافظة الخفجي,00506
The percentage of using the car as a means of transportation,87,Alkhafji,Al Khafji,Connectivity,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Availability of public transportation,34,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
Availability of public transportation,37.79,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Availability of public transportation,46,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Availability of public transportation,50,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2020,محافظة رأس تنورة,00507
Average daily trip time (minutes),19.6,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Average daily trip time (minutes),26,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
Average daily trip time (minutes),29,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Average daily trip time (minutes),40,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2020,محافظة رأس تنورة,00507
distribution of satisfaction degrees in the roads and traffic,24,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
distribution of satisfaction degrees in the roads and traffic,24,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2020,محافظة رأس تنورة,00507
distribution of satisfaction degrees in the roads and traffic,25.4,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
distribution of satisfaction degrees in the roads and traffic,32,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
distribution of satisfaction in the traffic and transportation,69,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
distribution of satisfaction in the traffic and transportation,71,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
distribution of satisfaction in the traffic and transportation,76.21,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
distribution of satisfaction in the traffic and transportation,80,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2020,محافظة رأس تنورة,00507
Ease and smoothness of traffic,27,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
Ease and smoothness of traffic,45.48,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Ease and smoothness of traffic,49,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Ease and smoothness of traffic,51,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2020,محافظة رأس تنورة,00507
Per capita share of asphalt roads,6,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2020,محافظة رأس تنورة,00507
Per capita share of asphalt roads,7,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
Per capita share of asphalt roads,8,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Per capita share of asphalt roads,12.5,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Percentage of air transportation used in domestic tourist trips,19,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
Percentage of air transportation used in domestic tourist trips,19,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2020,محافظة رأس تنورة,00507
Percentage of air transportation used in domestic tourist trips,22,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Percentage of air transportation used in domestic tourist trips,38.76,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Percentage of commuting on foot,4.55,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Percentage of commuting on foot,6,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
Percentage of commuting on foot,6,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2020,محافظة رأس تنورة,00507
Percentage of commuting on foot,8,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Percentage of land transportation used in local tourist trips,61.24,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Percentage of land transportation used in local tourist trips,78,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Percentage of land transportation used in local tourist trips,81,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
Percentage of land transportation used in local tourist trips,81,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2020,محافظة رأس تنورة,00507
The percentage of using the bus as a means of transportation,4,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
The percentage of using the bus as a means of transportation,5,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
The percentage of using the bus as a means of transportation,6,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2020,محافظة رأس تنورة,00507
The percentage of using the bus as a means of transportation,7,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
The percentage of using the car as a means of transportation,71,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
The percentage of using the car as a means of transportation,82,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2020,محافظة رأس تنورة,00507
The percentage of using the car as a means of transportation,87,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
The percentage of using the car as a means of transportation,88,Ras Tannurah,Ras Tannurah,Connectivity,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
Availability of public transportation,10,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2019,محافظة بقيق,00508
Availability of public transportation,45,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2017,محافظة بقيق,00508
Availability of public transportation,46,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2020,محافظة بقيق,00508
Availability of public transportation,60,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2018,محافظة بقيق,00508
Average daily trip time (minutes),15.64,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2019,محافظة بقيق,00508
Average daily trip time (minutes),16,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2018,محافظة بقيق,00508
Average daily trip time (minutes),31,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2017,محافظة بقيق,00508
Average daily trip time (minutes),33,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2020,محافظة بقيق,00508
distribution of satisfaction degrees in the roads and traffic,22.07,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2019,محافظة بقيق,00508
distribution of satisfaction degrees in the roads and traffic,25,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2020,محافظة بقيق,00508
distribution of satisfaction degrees in the roads and traffic,26,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2018,محافظة بقيق,00508
distribution of satisfaction degrees in the roads and traffic,28,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2017,محافظة بقيق,00508
distribution of satisfaction in the traffic and transportation,66.22,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2019,محافظة بقيق,00508
distribution of satisfaction in the traffic and transportation,72,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2020,محافظة بقيق,00508
distribution of satisfaction in the traffic and transportation,84,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2018,محافظة بقيق,00508
distribution of satisfaction in the traffic and transportation,96,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2017,محافظة بقيق,00508
Ease and smoothness of traffic,34,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2020,محافظة بقيق,00508
Ease and smoothness of traffic,34.62,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2019,محافظة بقيق,00508
Ease and smoothness of traffic,46,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2018,محافظة بقيق,00508
Ease and smoothness of traffic,66,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2017,محافظة بقيق,00508
Per capita share of asphalt roads,4.1,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2019,محافظة بقيق,00508
Per capita share of asphalt roads,5,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2017,محافظة بقيق,00508
Per capita share of asphalt roads,5,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2018,محافظة بقيق,00508
Per capita share of asphalt roads,7,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2020,محافظة بقيق,00508
Percentage of air transportation used in domestic tourist trips,13,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2018,محافظة بقيق,00508
Percentage of air transportation used in domestic tourist trips,25,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2017,محافظة بقيق,00508
Percentage of air transportation used in domestic tourist trips,29.9,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2019,محافظة بقيق,00508
Percentage of air transportation used in domestic tourist trips,30,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2020,محافظة بقيق,00508
Percentage of commuting on foot,6,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2017,محافظة بقيق,00508
Percentage of commuting on foot,6,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2019,محافظة بقيق,00508
Percentage of commuting on foot,8,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2018,محافظة بقيق,00508
Percentage of commuting on foot,8,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2020,محافظة بقيق,00508
Percentage of land transportation used in local tourist trips,70,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2020,محافظة بقيق,00508
Percentage of land transportation used in local tourist trips,70.1,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2019,محافظة بقيق,00508
Percentage of land transportation used in local tourist trips,75,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2017,محافظة بقيق,00508
Percentage of land transportation used in local tourist trips,87,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2018,محافظة بقيق,00508
The percentage of using the bus as a means of transportation,2,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2019,محافظة بقيق,00508
The percentage of using the bus as a means of transportation,6,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2020,محافظة بقيق,00508
The percentage of using the bus as a means of transportation,7,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2018,محافظة بقيق,00508
The percentage of using the bus as a means of transportation,8,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2017,محافظة بقيق,00508
The percentage of using the car as a means of transportation,73,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2020,محافظة بقيق,00508
The percentage of using the car as a means of transportation,77,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2018,محافظة بقيق,00508
The percentage of using the car as a means of transportation,86,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2017,محافظة بقيق,00508
The percentage of using the car as a means of transportation,91,Buqayq,Buqayq,Connectivity,49.51493518,26.14095716,2019,محافظة بقيق,00508
Availability of public transportation,23.15,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Availability of public transportation,35,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2018,محافظة النعيرية,00509
Availability of public transportation,43,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2020,محافظة النعيرية,00509
Availability of public transportation,47,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Average daily trip time (minutes),15,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Average daily trip time (minutes),19.92,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Average daily trip time (minutes),29,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2020,محافظة النعيرية,00509
Average daily trip time (minutes),35,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2018,محافظة النعيرية,00509
distribution of satisfaction degrees in the roads and traffic,23.35,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2019,محافظة النعيرية,00509
distribution of satisfaction degrees in the roads and traffic,26,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2018,محافظة النعيرية,00509
distribution of satisfaction degrees in the roads and traffic,30,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2017,محافظة النعيرية,00509
distribution of satisfaction degrees in the roads and traffic,31,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2020,محافظة النعيرية,00509
distribution of satisfaction in the traffic and transportation,62,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2020,محافظة النعيرية,00509
distribution of satisfaction in the traffic and transportation,64,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2018,محافظة النعيرية,00509
distribution of satisfaction in the traffic and transportation,70.04,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2019,محافظة النعيرية,00509
distribution of satisfaction in the traffic and transportation,93,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Ease and smoothness of traffic,31,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Ease and smoothness of traffic,37,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2020,محافظة النعيرية,00509
Ease and smoothness of traffic,51.01,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Ease and smoothness of traffic,55,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2018,محافظة النعيرية,00509
Per capita share of asphalt roads,6,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Per capita share of asphalt roads,8,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2018,محافظة النعيرية,00509
Per capita share of asphalt roads,8,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2020,محافظة النعيرية,00509
Per capita share of asphalt roads,10.7,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Percentage of air transportation used in domestic tourist trips,13,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Percentage of air transportation used in domestic tourist trips,18,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2018,محافظة النعيرية,00509
Percentage of air transportation used in domestic tourist trips,27,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2020,محافظة النعيرية,00509
Percentage of air transportation used in domestic tourist trips,33.11,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Percentage of commuting on foot,0.6,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Percentage of commuting on foot,6,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2020,محافظة النعيرية,00509
Percentage of commuting on foot,7,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Percentage of commuting on foot,7,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2018,محافظة النعيرية,00509
Percentage of land transportation used in local tourist trips,66.89,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Percentage of land transportation used in local tourist trips,73,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2020,محافظة النعيرية,00509
Percentage of land transportation used in local tourist trips,82,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2018,محافظة النعيرية,00509
Percentage of land transportation used in local tourist trips,87,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2017,محافظة النعيرية,00509
The percentage of using the bus as a means of transportation,5,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2019,محافظة النعيرية,00509
The percentage of using the bus as a means of transportation,7,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2017,محافظة النعيرية,00509
The percentage of using the bus as a means of transportation,8,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2018,محافظة النعيرية,00509
The percentage of using the bus as a means of transportation,8,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2020,محافظة النعيرية,00509
The percentage of using the car as a means of transportation,64,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2019,محافظة النعيرية,00509
The percentage of using the car as a means of transportation,70,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2017,محافظة النعيرية,00509
The percentage of using the car as a means of transportation,83,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2020,محافظة النعيرية,00509
The percentage of using the car as a means of transportation,88,Alnuayriyah,Al Nuayriyah,Connectivity,48.50992707,26.91517793,2018,محافظة النعيرية,00509
Availability of public transportation,25,Qaryah alulya,Qaryah Al Ulya,Connectivity,47.3392897,27.16597557,2020,محافظة القرية العليا,00510
Availability of public transportation,26.79,Qaryah alulya,Qaryah Al Ulya,Connectivity,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
Availability of public transportation,28,Qaryah alulya,Qaryah Al Ulya,Connectivity,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
Availability of public transportation,41,Qaryah alulya,Qaryah Al Ulya,Connectivity,47.3392897,27.16597557,2018,محافظة القرية العليا,00510
